Main Voice,Main Volume,Main Octave,Main Reverb Level,Main Chorus Level,Dual Voice,Dual Volume,Dual Octave,Dual Reverb Level,Dual Chorus Level
373,80,0,28,0,54,70,0,32,0
374,104,0,28,0,54,70,0,32,0
375,104,0,28,0,54,70,0,32,0
376,104,0,28,0,54,70,0,32,0
377,104,0,28,0,54,70,0,32,0
378,104,0,28,0,54,70,0,32,0
379,80,0,28,0,54,70,0,32,0
380,85,0,28,0,54,70,0,32,0
381,90,0,28,0,54,70,0,32,0
382,127,0,28,0,54,70,0,32,0
383,127,0,28,0,54,70,0,32,0
384,104,0,28,0,54,70,0,32,0
385,104,0,28,0,54,70,0,32,0
386,104,0,28,0,54,70,0,32,0
387,104,0,28,0,54,70,0,32,0
388,100,0,28,0,54,70,0,32,0
389,90,0,28,0,54,70,0,32,0
390,90,0,28,0,54,70,0,32,0
391,104,0,28,0,54,70,0,32,0
392,104,0,28,0,54,70,0,32,0
393,104,0,28,0,54,70,0,32,0
394,90,0,28,0,54,70,0,32,0
395,85,0,28,0,54,70,0,32,0
396,104,0,28,0,54,70,0,32,0
397,90,0,28,0,54,70,0,32,0
398,95,0,28,0,54,70,0,32,0
399,90,0,28,0,54,70,0,32,0
400,104,0,28,0,54,70,0,32,0
401,104,0,28,0,54,70,0,32,0
402,104,0,28,0,54,70,0,32,0
403,104,0,28,0,54,70,0,32,0
404,85,0,28,0,54,70,0,32,0
405,104,0,28,0,54,70,0,32,0
406,104,0,28,0,54,70,0,32,0
407,88,0,28,0,54,70,0,32,0
408,104,0,28,0,54,70,0,32,0
409,104,0,28,0,54,70,0,32,0
410,104,0,28,0,54,70,0,32,0
411,104,0,28,0,54,70,0,32,0
412,90,0,28,0,54,70,0,32,0
413,104,0,28,0,54,70,0,32,0
414,85,0,28,0,54,70,0,32,0
415,104,0,28,0,54,70,0,32,0
416,104,0,28,0,54,70,0,32,0
417,104,0,28,0,54,70,0,32,0
418,104,0,28,0,54,70,0,32,0
419,104,0,28,0,54,70,0,32,0
420,80,0,28,0,54,70,0,32,0
421,104,0,28,0,54,70,0,32,0
422,104,0,28,0,54,70,0,32,0
423,104,0,28,0,54,70,0,32,0
424,104,0,28,0,54,70,0,32,0
425,84,0,28,0,54,70,0,32,0
426,80,0,28,0,54,70,0,32,0
427,75,0,28,0,54,70,0,32,0
428,80,0,28,0,54,70,0,32,0
429,104,0,28,0,54,70,0,32,0
430,104,0,28,0,54,70,0,32,0
431,104,0,28,0,54,70,0,32,0
432,63,0,28,0,54,70,0,32,0
433,104,0,28,0,54,70,0,32,0
434,104,0,28,0,54,70,0,32,0
435,104,0,28,0,54,70,0,32,0
436,104,0,28,0,54,70,0,32,0
437,104,0,28,0,54,70,0,32,0
438,104,0,28,0,54,70,0,32,0
439,104,0,28,0,54,70,0,32,0
440,104,0,28,0,54,70,0,32,0
441,104,0,28,0,54,70,0,32,0
442,104,0,28,0,54,70,0,32,0
443,95,0,28,0,54,70,0,32,0
444,104,0,28,0,54,70,0,32,0
445,104,0,28,0,54,70,0,32,0
446,104,0,28,0,54,70,0,32,0
447,104,0,28,0,54,70,0,32,0
448,104,0,28,0,54,70,0,32,0
449,104,0,28,0,54,70,0,32,0
450,104,0,28,0,54,70,0,32,0
451,104,0,28,0,54,70,0,32,0
452,104,0,28,0,54,70,0,32,0
453,104,0,28,0,54,70,0,32,0
454,104,0,28,0,54,70,0,32,0
455,104,0,28,0,54,70,0,32,0
456,104,0,28,0,54,70,0,32,0
457,104,0,28,0,54,70,0,32,0
458,104,0,28,0,54,70,0,32,0
459,104,0,28,0,54,70,0,32,0
460,104,0,28,0,54,70,0,32,0
461,104,0,28,0,54,70,0,32,0
462,104,0,28,0,54,70,0,32,0
463,104,0,28,0,54,70,0,32,0
464,104,0,28,0,54,70,0,32,0
465,104,0,28,0,54,70,0,32,0
466,104,0,28,0,54,70,0,32,0
467,104,0,28,0,54,70,0,32,0
468,104,0,28,0,54,70,0,32,0
469,104,0,28,0,54,70,0,32,0
470,104,0,28,0,54,70,0,32,0
471,104,0,28,0,54,70,0,32,0
472,104,0,28,0,54,70,0,32,0
473,104,0,28,0,54,70,0,32,0
474,104,0,28,0,54,70,0,32,0
475,104,0,28,0,54,70,0,32,0
476,104,0,28,0,54,70,0,32,0
477,104,0,28,0,54,70,0,32,0
478,104,0,28,0,54,70,0,32,0
479,104,0,28,0,54,70,0,32,0
480,104,0,28,0,54,70,0,32,0
481,104,0,28,0,54,70,0,32,0
482,104,0,28,0,54,70,0,32,0
483,104,0,28,0,54,70,0,32,0
484,104,0,28,0,54,70,0,32,0
485,90,0,28,0,54,70,0,32,0
486,104,0,28,0,54,70,0,32,0
487,104,0,28,0,54,70,0,32,0
488,104,0,28,0,54,70,0,32,0
489,104,0,28,0,54,70,0,32,0
490,104,0,28,0,54,70,0,32,0
491,104,0,28,0,54,70,0,32,0
492,104,0,28,0,54,70,0,32,0
493,104,0,28,0,54,70,0,32,0
494,104,0,28,0,54,70,0,32,0
